_key,SpaceBud #,Type,Type Color,Emotion,Background,Background_Color,Belt,Belt_Pipe,Belt_Pipe_Color,chestplate ,Chestplate_Color,Covered_Helmet,Covered_Helmet_Color,Gloves,Gloves_Color,Suit,Star_Suit,Camo_Suit,Suit_Color,Watch,Wool_Boots,Special_Background,Amulet,Amulet_Position,Virtual_Reality,Eye_Patch,Ski_Goggles,Snorkel,X-Ray,Sword,Sword_Color,Sun_Glasses,Revolver,Jetpack,Backpack,Pistol,Pistol_Color,Umbrella,Umbrella_Color,Flag,Cardano_Coin,Cardano_Coin_Color,Flowers,Axe,Harpoon,Harpoon_Color,Hockey_Stick,Bazooka,Anchor,Arc,Wine,Jo-Jo,Blaster,Lamp_Fish,Baguette,Candle,Binoculars,SPO,gadget_count,left_hand,right_hand,both_hands,easter_egg
23,spacebud #23,parrot,green,classic,background,purple,belt,pipe,cyan,none,none,covered helmet,classic,gloves,purple,classic,none,none,classic,none,none,none,amulet,neck,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,anchor,none,none,none,none,none,none,none,none,none,4,none,none,anchor,n/a
24,spacebud #24,dog,white,joking,background,cyan,belt,pipe,purple,chestplate ,blue,covered helmet,classic,gloves,red,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,x-ray,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,harpoon,classic,none,none,none,none,none,none,none,none,none,none,none,none,5,classic gray harpoon,none,none,n/a
25,spacebud #25,arcane,purple,classic,special background,blue circular gradient,belt,pipe,cyan,chestplate ,orange,none,n/a,gloves,purple,star,star suit,none,black,none,none,special background,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,binoculars,none,5,binoculars,none,none,starcane
26,spacebud #26,lion,pink,serious,background,blue,belt,none,blue,chestplate ,yellow,covered helmet,classic,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,eye patch,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none,n/a
27,spacebud #27,elephant,classic,classic,background,dark,belt,none,cyan,chestplate ,orange,none,n/a,gloves,green,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,spo,3,none,none,spo,n/a
28,spacebud #28,frog,green,classic,background,purple,belt,pipe,light,chestplate ,green,covered helmet,n/a,gloves,light,classic,none,none,classic,none,none,none,amulet,neck,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,umbrella,green,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,green umbrella,none,n/a
29,spacebud #29,tiger,red,happy,background,cyan,belt,none,black,chestplate ,purple,none,n/a,gloves,green,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none,n/a
30,spacebud #30,tiger,yellow,joking,background,green,belt,pipe,red,chestplate ,blue,none,n/a,gloves,pink,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,cardano,pink,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,pink cardano coin,none,none,n/a
31,spacebud #31,cat,blue,sad,background,purple,belt,none,blue,chestplate ,yellow,covered helmet,classic,gloves,blue,camo,none,camo suit,purple,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none,n/a
32,spacebud #32,robot,yellow,angry,background,purple,belt,pipe,red,chestplate ,red,none,n/a,gloves,red,star,star suit,none,black,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,arc,none,none,none,none,none,none,none,none,4,none,none,arc,n/a
33,spacebud #33,ape,brown,shocked,background,dark,belt,none,cyan,chestplate ,yellow,none,n/a,gloves,pink,camo,none,camo suit,purple,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
34,spacebud #34,alien,yellow,angry,background,dark,belt,pipe,purple,chestplate ,orange,covered helmet,classic,gloves,green,camo,none,camo suit,purple,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,jetpack,none,none,n/a,none,n/a,none,none,n/a,flowers,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,6,none,flowers,none,n/a
35,spacebud #35,bear,brown,joking,background,blue,none,none,none,chestplate ,blue,none,n/a,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,eye patch,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,flag,none,n/a,none,axe,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,flag,axe,none,n/a
36,spacebud #36,robot,orange,confused,background,purple,belt,none,cyan,none,none,covered helmet,n/a,gloves,black,classic,none,none,pink,none,none,none,amulet,left hand,none,none,none,none,none,none,n/a,sun glasses,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,amulet,none,none,n/a
37,spacebud #37,robot,yellow,confused,background,green,belt,none,purple,none,none,covered helmet,n/a,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,flag,none,n/a,none,axe,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,flag,axe,none,n/a
38,spacebud #38,dog,black,happy,background,dark,belt,none,none,chestplate ,blue,covered helmet,n/a,gloves,red,star,star suit,none,yellow,none,none,none,amulet,neck,none,eye patch,none,none,none,none,n/a,none,none,none,backpack,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,7,none,none,none,n/a
39,spacebud #39,dog,black,joking,background,dark,none,none,none,none,none,none,n/a,gloves,pink,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,wine,none,none,none,none,none,none,none,1,wine,none,none,gx
40,spacebud #40,cat,blue,joking,background,green,belt,none,cyan,chestplate ,orange,none,n/a,gloves,light,star,star suit,none,black,none,none,none,none,n/a,none,none,none,snorkel,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none,n/a
41,spacebud #41,lion,brown,angry,background,green,belt,pipe,black,none,none,covered helmet,n/a,gloves,black,camo,none,camo suit,light,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,flag,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,flag,none,n/a
42,spacebud #42,ape,brown,shocked,special background,blue star gradient,belt,pipe,purple,chestplate ,yellow,covered helmet,classic,gloves,purple,star,star suit,none,green,none,none,special background,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,anchor,none,none,none,none,none,none,none,none,none,6,none,none,anchor,n/a
43,spacebud #43,tiger,blue,happy,special background,orange gradient,belt,pipe,black,chestplate ,blue,none,n/a,gloves,light,star,star suit,none,green,none,none,special background,amulet,left hand,none,none,none,none,none,sword,classic,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,6,amulet,classic sword,none,n/a
44,spacebud #44,cat,red,happy,background,blue,belt,pipe,light,chestplate ,purple,none,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,pistol,pink,none,n/a,none,none,pink,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,pink pistol,none,none,n/a
45,spacebud #45,cat,red,angry,background,blue,belt,pipe,purple,chestplate ,yellow,none,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,sun glasses,none,none,backpack,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none,n/a
46,spacebud #46,bear,brown,joking,background,dark,belt,none,purple,chestplate ,green,covered helmet,classic,gloves,pink,classic,none,none,classic,none,wool boots,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,backpack,pistol,pink,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,6,pink pistol,none,none,n/a
47,spacebud #47,arcane,black,classic,background,green,belt,none,blue,chestplate ,green,covered helmet,pink,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,cardano,classic,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,classic gold cardano coin,none,none,n/a
48,spacebud #48,frog,blue,classic,background,purple,belt,none,purple,none,none,covered helmet,n/a,gloves,pink,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,jo-jo,none,none,none,none,none,none,3,jo-jo,none,none,n/a
49,spacebud #49,frog,green,classic,background,dark,belt,pipe,blue,chestplate ,red,none,n/a,gloves,blue,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,pink,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none,n/a
50,spacebud #50,robot,orange,laughing,background,green,belt,pipe,green,chestplate ,red,none,n/a,gloves,blue,star,star suit,none,black,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,cardano,classic,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,classic gold cardano coin,none,none,n/a
51,spacebud #51,ape,black,angry,background,blue,belt,none,purple,chestplate ,orange,covered helmet,classic,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,axe,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,axe,none,n/a
52,spacebud #52,cat,red,happy,background,cyan,belt,pipe,purple,chestplate ,green,covered helmet,classic,gloves,purple,star,star suit,none,black,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,arc,none,none,none,none,none,none,none,none,5,none,none,arc,n/a
53,spacebud #53,alien,purple,joking,background,cyan,belt,pipe,purple,chestplate ,red,covered helmet,classic,gloves,pink,classic,none,none,classic,none,none,none,amulet,neck,none,none,none,none,x-ray,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,blaster,none,none,none,none,none,6,blaster,none,none,n/a
54,spacebud #54,parrot,mint,classic,background,cyan,none,none,none,chestplate ,yellow,covered helmet,classic,gloves,purple,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,jetpack,none,pistol,classic,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,classic blue pistol,none,none,n/a
55,spacebud #55,robot,pink,angry,background,purple,belt,pipe,purple,chestplate ,blue,none,n/a,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,harpoon,classic,none,none,none,none,none,none,none,none,none,none,none,none,3,classic gray harpoon,none,none,n/a
56,spacebud #56,dog,black,serious,background,blue,belt,none,blue,none,none,covered helmet,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none,n/a
57,spacebud #57,arcane,purple,classic,background,green,belt,pipe,light,chestplate ,red,none,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,vr,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
58,spacebud #58,ape,brown,shocked,background,cyan,belt,none,green,chestplate ,yellow,covered helmet,classic,gloves,pink,camo,none,camo suit,light,watch,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,cardano,pink,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,6,pink cardano coin,none,none,n/a
59,spacebud #59,ape,black,shy,background,blue,belt,pipe,red,chestplate ,yellow,none,n/a,gloves,blue,star,star suit,none,blue,none,none,none,amulet,neck,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,arc,none,none,none,none,none,none,none,none,5,none,none,arc,n/a
60,spacebud #60,elephant,classic,classic,background,green,belt,pipe,blue,chestplate ,yellow,none,n/a,gloves,purple,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,blaster,none,none,none,none,none,3,blaster,none,none,n/a
61,spacebud #61,dog,black,serious,background,cyan,belt,pipe,red,chestplate ,purple,none,n/a,gloves,pink,star,star suit,none,black,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
62,spacebud #62,parrot,green,classic,background,dark,belt,none,blue,none,none,none,n/a,gloves,green,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,flowers,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,flowers,none,n/a
63,spacebud #63,cat,red,sad,background,dark,belt,none,pink,chestplate ,orange,none,n/a,gloves,red,classic,none,none,classic,none,none,none,none,n/a,none,eye patch,none,none,none,none,n/a,none,none,none,backpack,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none,n/a
64,spacebud #64,tiger,blue,happy,background,blue,belt,pipe,purple,none,none,none,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,1,none,none,none,n/a
65,spacebud #65,tiger,gray,joking,background,cyan,none,none,none,chestplate ,purple,none,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,1,none,none,none,n/a
66,spacebud #66,bear,brown,happy,background,dark,belt,pipe,red,chestplate ,blue,none,n/a,gloves,black,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,x-ray,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
67,spacebud #67,arcane,black,classic,background,cyan,belt,none,black,chestplate ,red,none,n/a,gloves,green,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none,n/a
68,spacebud #68,arcane,purple,classic,background,blue,belt,none,red,none,none,none,n/a,gloves,purple,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,binoculars,none,2,binoculars,none,none,n/a
69,spacebud #69,cat,black,joking,background,dark,belt,none,green,none,none,none,n/a,gloves,purple,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,1,none,none,none,n/a
70,spacebud #70,tiger,blue,joking,special background,orange gradient,belt,none,none,chestplate ,orange,none,n/a,gloves,black,classic,none,none,classic,none,none,special background,amulet,neck,none,none,none,snorkel,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,none,none,n/a
71,spacebud #71,parrot,green,classic,background,purple,belt,pipe,light,none,none,none,n/a,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,1,none,none,none,n/a
72,spacebud #72,alien,purple,angry,background,purple,belt,pipe,light,chestplate ,red,covered helmet,classic,gloves,light,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,none,none,n/a
73,spacebud #73,frog,orange,classic,background,dark,belt,none,light,chestplate ,purple,covered helmet,classic,gloves,pink,star,star suit,none,green,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,4,none,none,none,n/a
74,spacebud #74,cat,red,happy,background,blue,belt,none,none,chestplate ,red,none,n/a,gloves,blue,classic,none,none,classic,none,none,none,amulet,neck,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,axe,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,3,none,axe,none,n/a
75,spacebud #75,alien,purple,joking,background,dark,belt,none,black,chestplate ,red,covered helmet,classic,gloves,green,classic,none,none,classic,none,none,none,none,n/a,none,none,ski goggles,none,none,none,n/a,none,revolver,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,5,none,revolver,none,n/a
76,spacebud #76,arcane,purple,classic,background,blue,belt,none,purple,none,none,covered helmet,n/a,gloves,pink,classic,none,none,classic,none,none,none,none,n/a,none,none,none,none,none,none,n/a,none,none,none,none,none,n/a,none,n/a,none,none,n/a,none,none,none,n/a,none,none,none,none,none,none,none,none,none,none,none,none,2,none,none,none,n/a
